,STR,PROBA
0,ПРАР,0.25248155485854795
1,ПОВР,0.24313794125321347
2,ПОТР,0.2383136352932057
3,ПОСР,0.238046696834654
4,ПОЛР,0.23678237922642256
5,ПОНР,0.23601311112314166
6,ПОРР,0.23351844989231269
7,ПРОР,0.23017188360589147
8,ПОМР,0.22465366635513545
9,ПОГР,0.22378732972147208
10,ПОДР,0.22328742679000246
11,ПРЕР,0.22055757450407437
12,ПОЙР,0.2165338837886435
13,ПОБР,0.2145682460483989
14,ПРИР,0.2087417869035334
15,ПОЕР,0.20824665800724182
16,ПОЖР,0.20379363917594695
17,ПОКР,0.202963703241177
18,ПОЧР,0.20103689291308535
19,ПОПР,0.20086944969817563
20,ПОШР,0.19967065334795236
21,ПОЗР,0.198704821470647
22,ПОИР,0.19797680749277863
23,ПРУР,0.17823631117063934
24,ПРЫР,0.1608888639705336
25,ПРЯР,0.15303370396931337
26,ПРЬР,0.1522456458462136
27,ПРНР,0.14770541420796787
28,ПРТР,0.14669364926282688
29,ПЕНР,0.12485774220315793
